shipment_id,event_bad,mode,origin_country,destination_country,value_usd,loss_usd,carrier_id,planned_departure,planned_arrival
PILOT-001,0,TRUCK,US,US,15000,0,SWIFT,2024-01-15,2024-01-17
PILOT-002,0,OCEAN,CN,US,125000,0,MAERSK,2024-01-10,2024-02-15
PILOT-003,1,AIR,DE,US,8500,2100,FEDEX,2024-01-20,2024-01-22
PILOT-004,0,TRUCK,US,CA,22000,0,SCHNEIDER,2024-01-18,2024-01-20
PILOT-005,0,RAIL,US,MX,45000,0,BNSF,2024-01-12,2024-01-25
PILOT-006,1,OCEAN,CN,US,180000,45000,EVERGREEN,2024-01-05,2024-02-10
PILOT-007,0,TRUCK,US,US,12000,0,JB_HUNT,2024-01-22,2024-01-24
PILOT-008,0,AIR,JP,US,95000,0,UPS,2024-01-25,2024-01-27
PILOT-009,1,TRUCK,MX,US,28000,8400,WERNER,2024-01-14,2024-01-18
PILOT-010,0,OCEAN,KR,US,200000,0,HMM,2024-01-08,2024-02-12
PILOT-011,0,TRUCK,US,US,9500,0,LANDSTAR,2024-01-28,2024-01-30
PILOT-012,1,INTERMODAL,CN,US,150000,37500,MAERSK,2024-01-03,2024-02-05
PILOT-013,0,AIR,GB,US,55000,0,DHL,2024-01-30,2024-02-01
PILOT-014,0,TRUCK,CA,US,18000,0,CELADON,2024-01-21,2024-01-23
PILOT-015,0,OCEAN,TW,US,88000,0,YANGMING,2024-01-07,2024-02-08
PILOT-016,1,TRUCK,US,US,31000,9300,SWIFT,2024-01-16,2024-01-19
PILOT-017,0,RAIL,US,CA,62000,0,UP,2024-01-11,2024-01-22
PILOT-018,0,AIR,SG,US,120000,0,FEDEX,2024-01-29,2024-01-31
PILOT-019,0,TRUCK,US,MX,25000,0,COYOTE,2024-01-24,2024-01-28
PILOT-020,1,OCEAN,CN,US,210000,52500,COSCO,2024-01-02,2024-02-06
PILOT-021,0,TRUCK,US,US,14000,0,HEARTLAND,2024-01-27,2024-01-29
PILOT-022,0,INTERMODAL,VN,US,95000,0,HAPAG,2024-01-09,2024-02-11
PILOT-023,0,AIR,FR,US,42000,0,AIR_FRANCE,2024-01-31,2024-02-02
PILOT-024,1,TRUCK,US,CA,19000,4750,XPO,2024-01-19,2024-01-21
PILOT-025,0,OCEAN,IN,US,175000,0,MSC,2024-01-06,2024-02-09
PILOT-026,0,TRUCK,US,US,11000,0,OLD_DOMINION,2024-01-26,2024-01-28
PILOT-027,0,RAIL,MX,US,55000,0,KCS,2024-01-13,2024-01-24
PILOT-028,1,AIR,CN,US,78000,19500,UPS,2024-01-23,2024-01-25
PILOT-029,0,TRUCK,US,US,16500,0,ABF,2024-01-17,2024-01-19
PILOT-030,0,OCEAN,PH,US,130000,0,PIL,2024-01-04,2024-02-07
PILOT-031,0,TRUCK,CA,US,21000,0,SAIA,2024-01-20,2024-01-22
PILOT-032,1,INTERMODAL,TH,US,145000,36250,OOCL,2024-01-01,2024-02-03
PILOT-033,0,AIR,AU,US,68000,0,QANTAS,2024-02-01,2024-02-04
PILOT-034,0,TRUCK,US,MX,27000,0,CELADON,2024-01-25,2024-01-29
PILOT-035,0,OCEAN,MY,US,115000,0,EVERGREEN,2024-01-10,2024-02-14
PILOT-036,0,TRUCK,US,US,13500,0,ESTES,2024-01-28,2024-01-30
PILOT-037,1,RAIL,US,CA,72000,18000,BNSF,2024-01-15,2024-01-26
PILOT-038,0,AIR,IT,US,52000,0,ALITALIA,2024-02-02,2024-02-04
PILOT-039,0,TRUCK,MX,US,24000,0,KNIGHT,2024-01-22,2024-01-26
PILOT-040,0,OCEAN,ID,US,160000,0,MAERSK,2024-01-08,2024-02-13
PILOT-041,0,TRUCK,US,US,10500,0,AVERITT,2024-01-29,2024-01-31
PILOT-042,1,INTERMODAL,BD,US,98000,24500,HAPAG,2024-01-05,2024-02-08
PILOT-043,0,AIR,NL,US,45000,0,KLM,2024-02-03,2024-02-05
PILOT-044,0,TRUCK,US,CA,20000,0,RYDER,2024-01-24,2024-01-26
PILOT-045,0,OCEAN,VN,US,140000,0,YANGMING,2024-01-12,2024-02-16
PILOT-046,0,TRUCK,US,US,17500,0,ECHO,2024-01-30,2024-02-01
PILOT-047,1,RAIL,CN,US,185000,46250,UP,2024-01-03,2024-02-01
PILOT-048,0,AIR,ES,US,38000,0,IBERIA,2024-02-04,2024-02-06
PILOT-049,0,TRUCK,CA,US,23000,0,CH_ROBINSON,2024-01-26,2024-01-28
PILOT-050,0,OCEAN,PK,US,108000,0,PIL,2024-01-14,2024-02-18
